crag_number,crag_name,route_number,route_name,grade,length_m,route_url
01,"NifadaAt 800m elevation, a colorful cave with hardcore sport climbing. Just before it is Frankenstein, a grey cliff with a few 5c-6b routes.",,Hase6c18m,,,https://climbinleonidio.com/route/hase-16/
01,"NifadaAt 800m elevation, a colorful cave with hardcore sport climbing. Just before it is Frankenstein, a grey cliff with a few 5c-6b routes.",,Igel7b+15m,,,https://climbinleonidio.com/route/igel-16/
01,"NifadaAt 800m elevation, a colorful cave with hardcore sport climbing. Just before it is Frankenstein, a grey cliff with a few 5c-6b routes.",,Sonic6c+15m,,,https://climbinleonidio.com/route/sonic-16/
01,"NifadaAt 800m elevation, a colorful cave with hardcore sport climbing. Just before it is Frankenstein, a grey cliff with a few 5c-6b routes.",,Der igel schlägt zurück7b+20m,,,https://climbinleonidio.com/route/der-igel-schlagt-zuruck-16/
01,"NifadaAt 800m elevation, a colorful cave with hardcore sport climbing. Just before it is Frankenstein, a grey cliff with a few 5c-6b routes.",,De puta madre8c30m,,,https://climbinleonidio.com/route/de-puta-madre-16/
01,"NifadaAt 800m elevation, a colorful cave with hardcore sport climbing. Just before it is Frankenstein, a grey cliff with a few 5c-6b routes.",,Stelli mantrisch6c+15m,,,https://climbinleonidio.com/route/stelli-mantrisch-16/
01,"NifadaAt 800m elevation, a colorful cave with hardcore sport climbing. Just before it is Frankenstein, a grey cliff with a few 5c-6b routes.",,Bat patting8c+50m,,,https://climbinleonidio.com/route/bat-patting-16/
01,"NifadaAt 800m elevation, a colorful cave with hardcore sport climbing. Just before it is Frankenstein, a grey cliff with a few 5c-6b routes.",,Prend ton trou8b+45m,,,https://climbinleonidio.com/route/prend-ton-trou-16/
01,"NifadaAt 800m elevation, a colorful cave with hardcore sport climbing. Just before it is Frankenstein, a grey cliff with a few 5c-6b routes.",,The glue8b30m,,,https://climbinleonidio.com/route/the-glue-16/
01,"NifadaAt 800m elevation, a colorful cave with hardcore sport climbing. Just before it is Frankenstein, a grey cliff with a few 5c-6b routes.",,Boys8a30m,,,https://climbinleonidio.com/route/boys-16/
01,"NifadaAt 800m elevation, a colorful cave with hardcore sport climbing. Just before it is Frankenstein, a grey cliff with a few 5c-6b routes.",,Girls8a+30m,,,https://climbinleonidio.com/route/girls-16/
01,"NifadaAt 800m elevation, a colorful cave with hardcore sport climbing. Just before it is Frankenstein, a grey cliff with a few 5c-6b routes.",,Baumkraxler7a+15m,,,https://climbinleonidio.com/route/baumkraxler-16/
